Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

01:30:01 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:30:02 PM 20001     16283  31972.00      0.00 6163796  210384   0.11  python3
01:30:03 PM 20001     16283   3139.00      0.00 6175964  224904   0.11  python3
01:30:04 PM 20001     16283   6010.00      0.00 6183244  232320   0.12  python3
01:30:05 PM 20001     16283   6013.00      0.00 6186296  235400   0.12  python3
01:30:06 PM 20001     16283   2070.00      0.00 6194752  243840   0.12  python3
01:30:07 PM 20001     16283    767.00      0.00 16431128  274468   0.14  python3
01:30:08 PM 20001     16283   1166.00      0.00 16432984  322660   0.16  python3
01:30:09 PM 20001     16283    705.00      0.00 16432984  364900   0.19  python3
01:30:10 PM 20001     16283   1618.00      0.00 16436308  414680   0.21  python3
01:30:11 PM 20001     16283   1264.00      0.00 16437588  459744   0.23  python3
01:30:12 PM 20001     16283   1216.00      0.00 16438868  506988   0.26  python3
01:30:13 PM 20001     16283   2807.00      0.00 16442708  554164   0.28  python3
01:30:14 PM 20001     16283   2631.00      0.00 16443988  599572   0.30  python3
01:30:15 PM 20001     16283   1571.00      0.00 16445268  646480   0.33  python3
01:30:16 PM 20001     16283   1337.00      0.00 16446548  691988   0.35  python3
01:30:17 PM 20001     16283   1387.00      0.00 16447828  736800   0.37  python3
01:30:18 PM 20001     16283   1511.00      0.00 16449992  784144   0.40  python3
01:30:19 PM 20001     16283   1675.00      0.00 16452828  831084   0.42  python3
01:30:20 PM 20001     16283   4657.00      0.00 16459228  880872   0.45  python3
01:30:21 PM 20001     16283   2025.00      0.00 16460508  926936   0.47  python3
01:30:22 PM 20001     16283   1419.00      0.00 16461788  973596   0.49  python3
01:30:23 PM 20001     16283   2111.00      0.00 16464328 1019220   0.52  python3
01:30:24 PM 20001     16283   1499.00      0.00 16465608 1065416   0.54  python3
01:30:25 PM 20001     16283   1780.00      0.00 16466888 1110176   0.56  python3
01:30:26 PM 20001     16283   2332.00      0.00 16467912 1156624   0.59  python3
01:30:27 PM 20001     16283   1478.00      0.00 16469192 1202360   0.61  python3
01:30:28 PM 20001     16283   2309.00      0.00 16470812 1247304   0.63  python3
01:30:29 PM 20001     16283   1554.00      0.00 16472092 1293052   0.66  python3
01:30:30 PM 20001     16283   1610.00      0.00 16473372 1338204   0.68  python3
01:30:31 PM 20001     16283   1699.00      0.00 16476212 1386576   0.70  python3
01:30:32 PM 20001     16283   1503.00      0.00 16477492 1430944   0.73  python3
01:30:33 PM 20001     16283   9410.00      0.00 16489012 1487772   0.76  python3
01:30:34 PM 20001     16283   1186.00      0.00 16490292 1532952   0.78  python3
01:30:35 PM 20001     16283   1948.00      0.00 16493152 1578636   0.80  python3
01:30:36 PM 20001     16283   1504.00      0.00 16494432 1624620   0.83  python3
01:30:37 PM 20001     16283   1533.00      0.00 16495712 1671744   0.85  python3
01:30:38 PM 20001     16283   1345.00      0.00 16496736 1717960   0.87  python3
01:30:39 PM 20001     16283   1239.00      0.00 16498016 1762604   0.90  python3
01:30:40 PM 20001     16283   1118.00      0.00 16499296 1806600   0.92  python3
01:30:41 PM 20001     16283   2287.00      0.00 16500320 1852228   0.94  python3
01:30:42 PM 20001     16283   1664.00      0.00 16501600 1897832   0.96  python3
01:30:43 PM 20001     16283   1224.00      0.00 16502880 1944240   0.99  python3
01:30:44 PM 20001     16283   1218.00      0.00 16503904 1990348   1.01  python3
01:30:45 PM 20001     16283   2330.00      0.00 16507012 2037036   1.04  python3
01:30:46 PM 20001     16283   1356.00      0.00 16508292 2083372   1.06  python3
01:30:47 PM 20001     16283   1591.00      0.00 16509572 2128016   1.08  python3
01:30:48 PM 20001     16283   1211.00      0.00 16510596 2173916   1.11  python3
01:30:49 PM 20001     16283   1247.00      0.00 16511876 2217596   1.13  python3
