Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/15/2023 	_x86_64_	(40 CPU)

12:14:36 AM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:14:37 AM 20001     22776  31039.00      0.00 6160176  206456   0.10  python3
12:14:38 AM 20001     22776   3760.00      0.00 6174952  223496   0.11  python3
12:14:39 AM 20001     22776   6202.00      0.00 6182792  231760   0.12  python3
12:14:40 AM 20001     22776   6119.00      0.00 6186472  235192   0.12  python3
12:14:41 AM 20001     22776   2063.00      0.00 6194744  243444   0.12  python3
12:14:42 AM 20001     22776  10471.00      0.00 6243236  289908   0.15  python3
12:14:43 AM 20001     22776  12227.00      0.00 6278564  325248   0.17  python3
12:14:44 AM 20001     22776  16104.00      0.00 6319012  365644   0.19  python3
12:14:45 AM 20001     22776   5195.00      0.00 6339748  386500   0.20  python3
12:14:46 AM 20001     22776  26148.00      0.00 6399908  446428   0.23  python3
12:14:47 AM 20001     22776   5996.00      0.00 6420388  466908   0.24  python3
12:14:48 AM 20001     22776   5282.00      0.00 6441124  487680   0.25  python3
12:14:49 AM 20001     22776   8472.00      0.00 6461604  508424   0.26  python3
12:14:50 AM 20001     22776  60880.00      0.00 6561188  607876   0.31  python3
12:14:51 AM 20001     22776  17224.00      0.00 16825292  638828   0.32  python3
12:14:52 AM 20001     22776   4189.00      0.00 16828456  642044   0.33  python3
12:14:53 AM 20001     22776  14847.00      0.00 16830304  643804   0.33  python3
12:14:54 AM 20001     22776   5271.00      0.00 16836456  649808   0.33  python3
12:14:55 AM 20001     22776  16451.00      0.00 16839692  653516   0.33  python3
12:14:56 AM 20001     22776   1954.00      0.00 16842872  656816   0.33  python3
12:14:57 AM 20001     22776    820.00      0.00 16844408  658100   0.33  python3
12:14:58 AM 20001     22776    866.00      0.00 16845712  659528   0.34  python3
12:14:59 AM 20001     22776    628.00      0.00 16847584  661276   0.34  python3
12:15:00 AM 20001     22776    585.00      0.00 16849424  663212   0.34  python3
12:15:01 AM 20001     22776   1260.00      0.00 16851116  664784   0.34  python3
12:15:02 AM 20001     22776    560.00      0.00 16852620  666560   0.34  python3
12:15:03 AM 20001     22776   2150.00      0.00 16854240  668104   0.34  python3
12:15:04 AM 20001     22776    683.00      0.00 16855988  669684   0.34  python3
12:15:05 AM 20001     22776  30742.00      0.00 16856512  670420   0.34  python3
12:15:06 AM 20001     22776    622.00      0.00 16856512  670476   0.34  python3
12:15:07 AM 20001     22776     36.00      0.00 16856512  670476   0.34  python3
