Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

03:59:15 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
03:59:16 PM 20001     18280  31194.00      0.00 6160812  206960   0.11  python3
03:59:17 PM 20001     18280   3723.00      0.00 6175460  223592   0.11  python3
03:59:18 PM 20001     18280   6163.00      0.00 6183168  231452   0.12  python3
03:59:19 PM 20001     18280   6057.00      0.00 6186408  234760   0.12  python3
03:59:20 PM 20001     18280   2069.00      0.00 6194596  243132   0.12  python3
03:59:21 PM 20001     18280  10824.00      0.00 6242636  289016   0.15  python3
03:59:22 PM 20001     18280  11012.00      0.00 6276428  322772   0.16  python3
03:59:23 PM 20001     18280  15158.00      0.00 6316620  363100   0.18  python3
03:59:24 PM 20001     18280   4947.00      0.00 6336332  382900   0.19  python3
03:59:25 PM 20001     18280  25150.00      0.00 6395980  442368   0.22  python3
03:59:26 PM 20001     18280   4935.00      0.00 6415692  462168   0.23  python3
03:59:27 PM 20001     18280   4968.00      0.00 6435660  481968   0.25  python3
03:59:28 PM 20001     18280   4952.00      0.00 6455372  501732   0.26  python3
03:59:29 PM 20001     18280   5031.00      0.00 6475084  521748   0.27  python3
03:59:30 PM 20001     18280  47671.00      0.00 6574412  620924   0.32  python3
03:59:31 PM 20001     18280  16354.00      0.00 16830860  644340   0.33  python3
03:59:32 PM 20001     18280  16525.00      0.00 16833740  647236   0.33  python3
03:59:33 PM 20001     18280   1298.00      0.00 16838392  651656   0.33  python3
03:59:34 PM 20001     18280    607.00      0.00 16840644  654012   0.33  python3
03:59:35 PM 20001     18280   4733.00      0.00 16843492  657060   0.33  python3
03:59:36 PM 20001     18280   1811.00      0.00 16845640  659200   0.34  python3
03:59:37 PM 20001     18280    409.00      0.00 16846408  659596   0.34  python3
03:59:38 PM 20001     18280    828.00      0.00 16847844  661168   0.34  python3
03:59:39 PM 20001     18280    600.00      0.00 16849164  662508   0.34  python3
03:59:40 PM 20001     18280    439.00      0.00 16850604  663900   0.34  python3
03:59:41 PM 20001     18280    491.00      0.00 16851920  665192   0.34  python3
03:59:42 PM 20001     18280    478.00      0.00 16853228  666724   0.34  python3
03:59:43 PM 20001     18280   1203.00      0.00 16854544  667860   0.34  python3
03:59:44 PM 20001     18280   1504.00      0.00 16856024  669420   0.34  python3
03:59:45 PM 20001     18280   1167.00      0.00 16857200  670632   0.34  python3
03:59:46 PM 20001     18280    622.00      0.00 16858824  672192   0.34  python3
03:59:47 PM 20001     18280    478.00      0.00 16860220  673568   0.34  python3
