Linux 5.4.0-100-generic (node-0.vhive-test.ut-osa-pg0.wisc.cloudlab.us) 	02/14/2023 	_x86_64_	(40 CPU)

11:21:23 PM   UID       PID  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
11:21:24 PM 20001     22186  31217.00      0.00 6160816  207072   0.11  python3
11:21:25 PM 20001     22186   3645.00      0.00 6175188  223480   0.11  python3
11:21:26 PM 20001     22186   6198.00      0.00 6182860  231564   0.12  python3
11:21:27 PM 20001     22186   6124.00      0.00 6186404  234948   0.12  python3
11:21:28 PM 20001     22186   2044.00      0.00 6194744  243164   0.12  python3
11:21:29 PM 20001     22186  10199.00      0.00 6229936  276376   0.14  python3
11:21:30 PM 20001     22186  10805.00      0.00 6262960  309340   0.16  python3
11:21:31 PM 20001     22186  15201.00      0.00 6303152  349668   0.18  python3
11:21:32 PM 20001     22186   5670.00      0.00 12191284  372696   0.19  python3
11:21:33 PM 20001     22186    911.00      0.00 12194960  376248   0.19  python3
11:21:34 PM 20001     22186    464.00      0.00 12196800  378052   0.19  python3
11:21:35 PM 20001     22186   4052.00      0.00 12201976  383336   0.19  python3
11:21:36 PM 20001     22186  12674.00      0.00 12206960  388188   0.20  python3
11:21:37 PM 20001     22186   9167.00      0.00 12210260  391672   0.20  python3
11:21:38 PM 20001     22186    717.00      0.00 12211028  392296   0.20  python3
11:21:39 PM 20001     22186   1092.00      0.00 12214316  395660   0.20  python3
11:21:40 PM 20001     22186   1685.00      0.00 12217984  399444   0.20  python3
11:21:41 PM 20001     22186   1123.00      0.00 12221212  402576   0.20  python3
11:21:42 PM 20001     22186  30323.00      0.00 12223160  404668   0.21  python3
11:21:43 PM 20001     22186   2600.00      0.00 17644308  781900   0.40  python3
11:21:44 PM 20001     22186    510.00      0.00 17644308 1826388   0.93  python3
11:21:45 PM 20001     22186    561.00      0.00 17644308 2924116   1.49  python3
11:21:46 PM 20001     22186    630.00      0.00 17644308 4001364   2.03  python3
11:21:47 PM 20001     22186    530.00      0.00 17644308 5078612   2.58  python3
11:21:48 PM 20001     22186  10427.00      0.00 17661708 5437436   2.76  python3
11:21:49 PM 20001     22186  30581.00      0.00 17687272 5608348   2.85  python3
11:21:50 PM 20001     22186  11771.00      0.00 17717984 5784416   2.94  python3
11:21:51 PM 20001     22186  11233.00      0.00 17748528 5945824   3.02  python3
11:21:52 PM 20001     22186  12427.00      0.00 17782900 6127004   3.12  python3
11:21:53 PM 20001     22186  10354.00      0.00 17812472 6274024   3.19  python3
11:21:54 PM 20001     22186  11895.00      0.00 17846520 6442252   3.28  python3
11:21:55 PM 20001     22186   9173.00      0.00 17874396 6566932   3.34  python3
11:21:56 PM 20001     22186  10590.00      0.00 17908256 6698176   3.41  python3
11:21:57 PM 20001     22186   8998.00      0.00 17936448 6811364   3.46  python3
11:21:58 PM 20001     22186  10446.00      0.00 17969776 6938604   3.53  python3
11:21:59 PM 20001     22186  10586.00      0.00 18003208 7064108   3.59  python3
11:22:00 PM 20001     22186   8696.00      0.00 18031264 7170800   3.65  python3
11:22:01 PM 20001     22186   9941.58      0.00 18062168 7288784   3.71  python3
11:22:02 PM 20001     22186  10736.00      0.00 18094572 7409064   3.77  python3
11:22:03 PM 20001     22186  11523.00      0.00 18126660 7517584   3.82  python3
11:22:04 PM 20001     22186  23280.00      0.00 18156708 7604020   3.87  python3
11:22:05 PM 20001     22186   9499.00      0.00 18183436 7688000   3.91  python3
11:22:06 PM 20001     22186  12770.00      0.00 18221576 7802276   3.97  python3
11:22:07 PM 20001     22186  10088.00      0.00 18251220 7895932   4.01  python3
11:22:08 PM 20001     22186  10725.00      0.00 18284024 7996232   4.07  python3
11:22:09 PM 20001     22186  23468.00      0.00 18314716 8090008   4.11  python3
11:22:10 PM 20001     22186   8111.00      0.00 18340032 8166324   4.15  python3
11:22:11 PM 20001     22186  10168.00      0.00 18371808 8260328   4.20  python3
11:22:12 PM 20001     22186  10318.00      0.00 18404856 8360176   4.25  python3
11:22:13 PM 20001     22186  14372.00      0.00 18436768 8451412   4.30  python3
11:22:14 PM 20001     22186  13036.00      0.00 18469428 8550532   4.35  python3
11:22:15 PM 20001     22186  14369.00      0.00 18501704 8643292   4.39  python3
11:22:16 PM 20001     22186  63751.00      0.00 18519264 8692960   4.42  python3
11:22:17 PM 20001     22186  14613.00      0.00 18551808 8780620   4.46  python3
11:22:18 PM 20001     22186  14060.00      0.00 18584372 8864200   4.51  python3
11:22:19 PM 20001     22186  13661.00      0.00 18617420 8950452   4.55  python3
11:22:20 PM 20001     22186  15361.00      0.00 18648972 9032948   4.59  python3
11:22:21 PM 20001     22186  13742.00      0.00 18680092 9100792   4.63  python3
11:22:22 PM 20001     22186  14496.00      0.00 18712120 9174976   4.66  python3
11:22:23 PM 20001     22186  13683.00      0.00 18743956 9261324   4.71  python3
11:22:24 PM 20001     22186  42718.00      0.00 18760216 9305304   4.73  python3
11:22:25 PM 20001     22186  11084.00      0.00 18793376 9386596   4.77  python3
11:22:26 PM 20001     22186  12680.00      0.00 18832068 9473272   4.82  python3
11:22:27 PM 20001     22186  10815.00      0.00 18864212 9552580   4.86  python3
11:22:28 PM 20001     22186  10551.00      0.00 18895312 9625964   4.89  python3
11:22:29 PM 20001     22186  10878.00      0.00 18928244 9719872   4.94  python3
11:22:30 PM 20001     22186  11034.00      0.00 18961884 9802556   4.98  python3
11:22:31 PM 20001     22186  10567.00      0.00 18994804 9888576   5.03  python3
